"code","title","kladr_code","addr","coords_lat","coords_lng","city"
"1125899906842653","Абакан","1900000100000","г.Абакан, ул. Игарская, д 5 "В"","53.710762","91.390152","Абакан"
"2252083356639110","Алексеевка","","г. Старый Оскол, микрорайон Макаренко, 29 второе карэ","50.639591","38.708797","Алексеевка"
"1125899906842709","Альметьевск","1600800100000","г.Альметьевск, ул. Тухватуллина, база «Смарт»","54.894080","52.318130","Альметьевск"
"1125900209901135","Ангарск","","г.Ангарск, ул. Московский тракт, ст.3, склад 7","52.548760","103.906590","Ангарск"
"1125899906842711","Армавир","2300000200000","г.Армавир, ул. Мичурина, д. 4","44.984230","41.099780","Армавир"
"1125899906842651","Архангельск","2900000100000","г.Архангельск, Окружное шоссе, д. 12","64.558650","40.574070","Архангельск"
"1125899906842676","Астрахань","3000000100000","г. Астрахань, Кулаковский промузел, ул. Широкая, д.1","46.328637","48.070670","Астрахань"
"1125900209901076","Ахтубинск","","г. Ахтубинск, ул. Добролюбова, тер. ТЦ "ВОСЬМОЙ" павильон "турагенство ПЕГАС туристик"","48.289058","46.167698","Ахтубинск"
"1125899906842662","Ачинск","2400001200000","улица 5 Июля, Ачинск, Красноярский край, Россия","56.240730","90.480244","Ачинск"
"1125899906842714","Балаково","6400000400000","г.Балаково, ул. Привокзальная, д. 73","51.991470","47.808060","Балаково"
"1125899906842658","Барнаул","2200000100000","улица Попова, 179Б, Барнаул, Алтайский край, Россия, 656922","53.321355","83.641864","Барнаул"
"1125899906842697","Белгород","3100000100000","г.Белгород, ул. Дзгоева, д. 6","50.589670","36.651760","Белгород"
"1125899906842636","Белогорск","2800000300000","г.Белогорск, ул. Кирова, д. 306","50.898940","128.535030","Белогорск"
"1125899906842696","Березники","5900000200000","г.Березники, ул. Уральских Танкистов, д. 15, оф.205","59.417800","56.803090","Березники"
"1125899906842643","Бийск","2200000400000","г.Бийск, ул. Мерлина, д. 57/7","52.513110","85.167790","Бийск"
"1125899906842670","Биробиджан","7900000100000","г.Биробиджан, ул. Биршоссе 2 км, д. 23а","48.785020","132.903090","Биробиджан"
"1125899906842625","Благовещенск","0201500100000","г.Благовещенск, ул. Калинина, д. 126","50.288500","127.524830","Благовещенск"
"1125899906842667","Братск","3800000500000","г.Братск, Район Падунского хлебозавода, тер. ЗАО ПИК «БАЗА»","56.307420","101.696880","Братск"
"1125899906842717","Брянск","3200000100000","г.Брянск, с.Супонево, пер.Комсомольский, 9","53.215660","34.319970","Брянск"
"1125899906842734","Великий Новгород","5300000100000","г.Великий Новгород, ул. Б. Санкт-Петербургская, д. 39","58.538470","31.260860","Великий Новгород"
"1125899906842626","Владивосток","2500000100000","г.Владивосток, ул. Снеговая, д. 34, лит.Ж","43.135990","131.961480","Владивосток"
"2252083294050363","Владикавказ","","г. Владикавказ, ул. Чапаева, д. 21","43.046980","44.670640","Владикавказ"
"1125899906842721","Владимир","3300000100000","г.Владимир, ул. Полины Осипенко, д. 57","56.153549","40.414477","Владимир"
"1125899906842650","Волгоград","3400000100000","г.Волгоград, Тайшетский проезд, д. 10","48.752116","44.468059","Волгоград"
"1125900209900742","Волгодонск","","г. Волгодонск, пер. Маяковского 15","47.512027","42.147007","Волгодонск"
"1125899906842710","Волжский","3400000200000","г.Волжский, 1-й Базовый пр-д, д. 5, офис 1.1","48.822951","44.741971","Волжский"
"1125899906842661","Вологда","3500000100000","г.Вологда, ул. Чехова, д. 44, «Грузовой двор»","59.206870","39.892740","Вологда"
"2252083282198131","Воркута","","","67.469200","64.032097","Воркута"
"1125899906842652","Воронеж","3600000100000","г. Воронеж, ул. Проспект Патриотов, д. 49 «З»","51.642790","39.108500","Воронеж"
"2252083298333337","Воскресенск","","109390, г. Москва, ул.Люблинская,дом 47, помещение 7","55.323841","38.681515","Воскресенск"
"2252083356683183","Выборг","","","60.713951","28.757156","Выборг"
"1125899906842693","Глазов","1800000400000","г.Глазов, ул. Глинки, д. 2","58.151640","52.640060","Глазов"
"2252083294158599","Грозный","","г. Грозный, п-т. А. Кадырова, д. 157","43.296520","45.713520","Грозный"
"2252079029287689","Димитровград","7300000100300","г.Димитровград, пр.Автостроителей, д. 67","54.209890","49.586390","Димитровград"
"1010005883","Екатеринбург-Терминал","6600000100000","г. Екатеринбург, ул. Труда, д. 10","56.857530","60.535380","Екатеринбург"
"1125900175704761","Елец","","г.Елец, Московское шоссе, д. 8","52.634360","38.458250","Елец"
"1125900209900358","Златоуст","","","55.170950","59.673300","Златоуст"
"1125899906842715","Иваново","3700000100000","г. Иваново, пл. Генкиной, д. 1, склад 7","57.015988","40.988794","Иваново"
"1125899906842677","Ижевск","1800000100000","г.Ижевск, ул. Маяковского, д. 33, офис 201","56.816260","53.202090","Ижевск"
"2252083293455955","Инта","","","66.039513","60.130741","Инта"
"1125899906842628","Иркутск","3800000300000","г.Иркутск, ул. Трактовая, д. 3Б","52.317230","104.244400","Иркутск"
"1125900206756114","Ишимбай","","","53.450000","56.033330","Ишимбай"
"1125899906842687","Йошкар-Ола","1200000100000","г.Йошкар-Ола, Кокшайский пр-д, д. 46","56.606530","47.879680","Йошкар-Ола"
"1125899906842642","Казань","1600000100000","улица Родины, 7/7, Казань, Республика Татарстан, Россия, 420087","55.769206","49.193846","Казань"
"1125899906842706","Калининград","3900000100000","","54.716667","20.516666","Калининград"
"1125899906842720","Калуга","4000000100000","г.Калуга, ул. Московская, д. 300","54.561770","36.260350","Калуга"
"1125900209900225","Камышин","","Тургенева ул., 28, Камышин, Волгоградская обл., Россия, 403886","50.092239","45.412208","Камышин"
"2252083286418557","Карасук","","г.Карасук, ул. Кутузова, д. 1 «А»","53.726600","78.042660","Карасук"
"1125899906842663","Кемерово","4200000900000","г.Кемерово, ул. Тухачевского, д. 54 «Б», корп.2","55.314070","86.142950","Кемерово"
"1125900177694287","Кипарисово","","с.Кипарисово, ул.Карьерная 2, (423) 2600505/г. Владивосток, ул. Снеговая 34, (423) 2465747","43.477844","131.925110","Кипарисово"
"1125899906842638","Киров","4001100100000","г.Киров, ул. Потребкооперации, д. 17","58.565160","49.622110","Киров"
"1125900209900130","Киселевск","","В Киселевске прием/выдача груза осуществляется путем адресной автодоставки от грузоотправителя (или до грузополучателя) по предварительному согласованию. Максимальные размеры одного места вес 2500кг. Длинна 5м высота 2м ширина 2м.","54.013230","86.677510","Киселевск"
"2252083356628762","Клин","","141607 г. Клин ул. Волоколамское шоссе, д.31 Бывшая территория « Клинской Сельхозтехники»","56.333332","36.733334","Клин"
"1125900209900120","Клинцы","","г.Клинцы, ул. Богунского полка, д. 71","52.751590","32.229210","Клинцы"
"2252083294101137","Когалым","","г. Когалым, п-т Нефтяников, д. 7, корп. Б","62.259290","74.544340","Когалым"
"1125899906842704","Комсомольск-на-А","2701800008700","г.Комсомольск-на-Амуре, ул. Краснофлотская, д. 4","50.546730","137.034420","Комсомольск-на-Амуре"
"1125899906842680","Кострома","4400100100000","г.Кострома, ул. Льняная, д. 1Ж","57.750410","40.984684","Кострома"
"1125899906842673","Краснодар","2300000100000","г.Краснодар, ул. Новороссийская, д. 216","45.035390","39.043950","Краснодар"
"1125899906842637","Красноярск","2400000100000","улица Красной Звезды, 1 строение 22, Красноярск, Красноярский край, Россия, 660001","56.001754","92.818472","Красноярск"
"2252083321949707","Куйбышев","","улица Гуляева, 59, Куйбышев, Новосибирская область, Россия, 632382","55.435004","78.328567","Куйбышев"
"1125899906842657","Курган","4500000100000","г.Курган, пр.Машиностроителей, д. 27","55.474770","65.319930","Курган"
"1125899906842698","Курск","4600000100000","г.Курск, ул. Нижняя Казацкая, д. 164","51.756830","36.160410","Курск"
"1125900177694286","Лабытнанги","8900000300000","г.Лабытнанги, ул. Пристанская, д. 6 склад № 6","66.658695","66.429144","Лабытнанги"
"1125899906842678","Липецк","4800000100000","г.Липецк, ул. Боевой пр-д, д. 5a","52.629070","39.550620","Липецк"
"1125899906842723","Магадан","4900000100000","г.Магадан, пер.Марчеканский, д. 25","59.544380","150.807740","Магадан"
"1125899906842644","Магнитогорск","7400000900000","г.Магнитогорск, ул. Калмыкова, д. 66/2","53.343870","58.997770","Магнитогорск"
"1125900168096700","Махачкала","0500000100000","г.Махачкала, ул. Даниялова, д. 91а","42.976280","47.522490","Махачкала"
"1125899906842727","Миасс","7400001000000","г.Миасс, ул. 60 лет Октября, д. 13а","55.013040","60.098220","Миасс"
"2252083286402331","Москва-Варшавское","7700000000000","г. Москва, 1-ый Варшавский проезд, д. 2, стр. 9А","55.644380","37.625730","Москва"
"1010008024","Москва-Восточный","7700000000000","г. Москва, Тюменский проезд, д.3, стр.8","55.811520","37.740910","Москва"
"2252083291084474","Москва-Лобня","7700000000000","г. Лобня, Букинское шоссе, д. 39","56.021370","37.473190","Москва"
