"ID","NAME","COUNTRY","TZONEID","REGION","TZONE","SR","OC","TP","SP"
"340000101300","19 Партсъезда","RU","0000003401","34","N","N","","пос.",""
"090000000003","Абай","KZ","000000KZ03","09","N","N","","гор.",""
"190000100000","Абакан","RU","0000001901","19","Y","Y","X","гор.","1"
"240200000100","Абан","RU","0000002401","24","N","N","","пос.",""
"720200000100","Абатское","RU","0000007211","72","N","N","","село",""
"565500100000","Абдулино","RU","0000000212","56","N","N","","гор.",""
"020600001200","Абзаково","RU","0000007410","02","N","N","","дер.",""
"230200100000","Абинск","RU","0000002310","23","Y","N","","гор.","1"
"251000000200","Абрамовка","RU","0000002510","25","N","N","","село",""
"230000600100","Абрау-Дюрсо","RU","0000002325","23","N","N","","село",""
"164400000200","Абсалямово","RU","0000000212","16","N","N","","село",""
"630600000200","Августовка","RU","0000006301","63","N","N","","село",""
"860600000200","Аган","RU","0000008619","86","N","N","","пос.",""
"742500000100","Агаповка","RU","0000007410","74","N","N","","село",""
"752900000100","Агинское","RU","0000007501","75","N","N","","пос.",""
"860800000200","Агириш","RU","0000008613","86","N","N","","пос.",""
"233600000300","Агой","RU","0000002331","23","N","N","","село",""
"231000000200","Агроном","RU","0000002300","23","N","N","","пос.",""
"160200100000","Агрыз","RU","0000001800","16","N","N","","гор.",""
"564300000100","Адамовка","RU","0000005610","56","N","N","","пос.",""
"564000000300","Адамовка","RU","0000005601","56","N","N","","село",""
"230000794000","Адлер","RU","0000002323","23","N","N","","мкр",""
"160300100000","Азнакаево","RU","0000000212","16","N","N","","гор.",""
"610001300000","Азов","RU","0000006100","61","N","N","","гор.",""
"910300000100","Азовское","RU","0000009206","91","N","N","","пос.",""
"111700000100","Айкино","RU","0000001101","11","N","N","","село",""
"130900000400","Аким-Сергеевка","RU","0000001301","13","N","N","","пос.",""
"560000300100","Аккермановка","RU","0000005615","56","N","N","","пос.",""
"060000000006","Аккистау","KZ","000000KZ08","06","N","N","","село",""
"911200008700","Акрополис","RU","0000009202","91","N","N","","",""
"610300100000","Аксай","RU","0000006100","61","N","N","","гор.",""
"020900011700","Аксаково","RU","0000000217","02","N","N","","село",""
"022900000600","Аксаково","RU","0000000212","02","N","N","","дер.",""
"300700000300","Аксарайский","RU","0000003001","30","N","N","","пос.",""
"030000000000","Аксу","KZ","000000KZ14","03","N","N","","гор.",""
"130000000001","Аксукент","KZ","000000KZ22","13","N","N","","с.",""
"090000000004","Актас","KZ","000000KZ03","09","N","N","","пос.",""
"080000000000","Актау","KZ","000000KZ06","08","Y","Y","","гор.","1"
"050000000000","Актобе","KZ","000000KZ07","05","Y","Y","","гор.","1"
"562700000200","Актюбинский","RU","0000005610","56","N","N","","пос.",""
"502200000600","Акулово (гп Одинцово)","RU","0000007700","50","N","N","","село",""
"024800000100","Акъяр","RU","0000000213","02","N","N","","село",""
"161900100300","Алабуга ОЭЗ","RU","0000001610","16","N","N","","терр.",""
"150200100000","Алагир","RU","0000001501","15","N","N","","гор.",""
"510000400200","Алакуртти","RU","0000005101","51","N","N","","село",""
"660002400000","Алапаевск","RU","0000006649","66","Y","N","","гор.","1"
"131100000200","Алатырь","RU","0000001301","13","N","N","","Курорт",""
"220000200000","Алейск","RU","0000002200","22","N","N","","гор.",""
"620100000800","Алеканово","RU","0000006201","62","N","N","","село",""
"621000000100","Александро-Невский","RU","0000006201","62","N","N","","пос.",""
"330200100000","Александров","RU","0000003301","33","N","N","","гор.",""
"640200000100","Александров Гай","RU","0000006401","64","N","N","","село",""
"610300000200","Александровка","RU","0000006100","61","N","N","","Хутор",""
"361700000500","Александровка","RU","0000003601","36","N","N","","село",""
"630300000300","Александровка","RU","0000006301","63","N","N","","село",""
"590000300000","Александровск","RU","0000005910","59","N","N","","гор.",""
"260200000100","Александровское","RU","0000002600","26","N","N","","село",""
"630001000200","Алексеевка","RU","0000006301","63","N","N","","пос.",""
"310200100000","Алексеевка","RU","0000003601","31","N","N","","гор.",""
"710200100000","Алексин","RU","0000007101","71","N","N","","гор.",""
"211100000400","Аликово","RU","0000002101","21","N","N","","дер.",""
"000000000001","Алматы","KZ","000000KZ02","00","Y","Y","X","гор.","1"
"910001000000","Алупка","RU","0000009204","91","N","N","","",""
"910000900000","Алушта","RU","0000009209","91","Y","Y","","","1"
"450200000100","Альменево","RU","0000004501","45","N","N","","село",""
"160800100000","Альметьевск","RU","0000001610","16","N","N","","гор.",""
"860800000300","Алябьевский","RU","0000008613","86","N","N","","пос.",""
"230300100000","Анапа","RU","0000002311","23","Y","Y","","гор.","1"
"230300000300","Анапская","RU","0000002311","23","N","N","","стан.",""
"380000400000","Ангарск","RU","0000003801","38","N","N","","гор.",""
"261700000200","Анджиевский","RU","0000002610","26","N","N","","пос.",""
"860700000200","Андра","RU","0000008622","86","N","N","","пос.",""
"503300000400","Андреевка","RU","0000007700","50","N","N","","пос.",""
"501200000400","Андреевка","RU","0000007700","50","N","N","","дер.",""
"331500000600","Андреево","RU","0000003301","33","N","N","","пос.",""
"420000200000","Анжеро-Судженск","RU","0000004201","42","N","N","","гор.",""
"720000201700","Анисимово","RU","0000007210","72","N","N","","мкр.",""
"360200000100","Анна","RU","0000003601","36","N","N","","пос.",""
"311000000300","Анновка","RU","0000003101","31","N","N","","село",""
"471800057300","Аннолово","RU","0000007800","47","N","N","","дер.",""
"330500000900","Анопино","RU","0000003301","33","N","N","","пос.",""
"720000104100","Антипино","RU","0000007201","72","N","N","","село",""
"721300000600","Антипино","RU","0000007201","72","N","N","","село",""
"440200000100","Антропово","RU","0000004401","44","N","N","","пос.",""
"501400000800","Апаринки","RU","0000007700","50","N","N","","дер.",""
"502800000600","Апариха","RU","0000007700","50","N","N","","дер.",""
"510000200000","Апатиты","RU","0000005101","51","N","N","","гор.",""
"502000200000","Апрелевка","RU","0000007700","50","N","N","","гор.",""
"230400100000","Апшеронск","RU","0000002312","23","Y","N","","гор.","1"
"662500200000","Арамиль","RU","0000006600","66","N","N","","гор.",""
"742600000100","Аргаяш","RU","0000007414","74","N","N","","село",""
"200000200000","Аргун","RU","0000001501","20","N","N","","гор.",""
"520200000100","Ардатов","RU","0000005210","52","N","N","","пос.",""
"130200100000","Ардатов","RU","0000001301","13","N","N","","гор.",""
"150300100000","Ардон","RU","0000001501","15","N","N","","гор.",""
"761500001600","Арефино","RU","0000007601","76","N","N","","село",""
"520000400000","Арзамас","RU","0000005210","52","Y","N","","гор.","1"
"640300100000","Аркадак","RU","0000006401","64","N","N","","гор.",""
"010000000004","Аркалык","KZ","000000KZ12","01","N","N","","гор.",""
"230000200000","Армавир","RU","0000002313","23","Y","N","","гор.","1"
"03000000100A","Армавир","AM","000000AM01","03","N","N","","гор.",""
"911600000100","Армянск","RU","0000009214","91","Y","Y","","гор.","1"
"720400000100","Аромашево","RU","0000007211","72","N","N","","село",""
"250000200000","Арсеньев","RU","0000002510","25","N","N","","гор.",""
"161000100000","Арск","RU","0000001601","16","N","N","","гор.",""
"02000000100A","Арташат","AM","000000AM01","02","N","N","","гор.",""
"250000300000","Артем","RU","0000002501","25","N","N","","гор.",""
"242400200000","Артемовск","RU","0000001901","24","N","N","","гор.",""
"660300100000","Артемовский","RU","0000006647","66","Y","N","","гор.","1"
"660400000100","Арти","RU","0000006613","66","N","N","","пос.",""
"501300000600","Архангельское","RU","0000007700","50","N","N","","пос.",""
"020300000100","Архангельское","RU","0000000200","02","N","N","","село",""
"711200000100","Архангельское","RU","0000007101","71","N","N","","село",""
"230000300300","Архипо-Осиповка","RU","0000002315","23","N","N","","село",""
"670100001900","Архиповка","RU","0000006701","67","N","N","","дер.",""
"660000200000","Асбест","RU","0000006643","66","Y","N","","гор.","1"
"700300100000","Асино","RU","0000007001","70","N","N","","гор.",""
"190300000100","Аскиз","RU","0000001901","19","N","N","","село",""
"020400000100","Аскино","RU","0000005915","02","N","N","","село",""
"040000000000","Астана","KZ","000000KZ01","04","Y","Y","X","гор.","1"
"300000100000","Астрахань","RU","0000003001","30","Y","Y","X","гор.","1"
"750100000500","Атамановка","RU","0000007501","75","N","N","","пос.",""
"040000000009","Атбасар","KZ","000000KZ01","04","N","N","","гор.",""
"661700000400","Атиг","RU","0000006613","66","N","N","","пос.",""
"640000300000","Аткарск","RU","0000006401","64","N","N","","гор.",""
"060000000000","Атырау","KZ","000000KZ08","06","Y","Y","","гор.","1"
"130400000100","Атяшево","RU","0000001301","13","N","N","","пос.",""
"232900000700","Афипский","RU","0000002300","23","N","N","","пос.",""
"522700000400","Афонино","RU","0000005201","52","N","N","","дер.",""
"300200100000","Ахтубинск","RU","0000003410","30","N","N","","гор.",""
"230200000400","Ахтырский","RU","0000002300","23","N","N","","пос.",""
"240001200000","Ачинск","RU","0000002410","24","Y","N","","гор.","1"
"660500000100","Ачит","RU","0000005913","66","N","N","","пос.",""
"740200300000","Аша","RU","0000000200","74","N","N","","гор.",""
"01000000100A","Аштарак","AM","000000AM01","01","N","N","","гор.",""
"501400000900","Ащерино","RU","0000007700","50","N","N","","дер.",""
"120000104151","Аэропорт","RU","0000001201","12","N","N","","пос.",""
"080000000011","Аэропорт","KZ","000000KZ06","08","N","N","","терр.",""
"340000102300","Аэропорт","RU","0000003401","34","N","N","","пос.",""
"701700016500","Аэропорт","RU","0000007001","70","N","N","","пос.",""
"510000200800","Аэропорт Хибины","RU","0000005101","51","N","N","","терр.",""
"220300000200","Ая","RU","0000002211","22","N","N","","село",""
"720000202600","БСИ-1","RU","0000007210","72","N","N","","пр.зн.",""
"720000202700","БСИ-2","RU","0000007210","72","N","N","","пр.зн.",""
"050600000100","Бабаюрт","RU","0000000501","05","N","N","","село",""
"591200014300","Бабина Гора","RU","0000005913","59","N","N","","пос.",""
"180900000800","Бабино","RU","0000001800","18","N","N","","село",""
"592600000200","Бабка","RU","0000005914","59","N","N","","село",""
"030900200000","Бабушкин","RU","0000003801","03","N","N","","гор.",""
"361700001000","Бабяково","RU","0000003601","36","N","N","","село",""
"330900000600","Бавлены","RU","0000003301","33","N","N","","пос.",""
"740000600151","Бажово","RU","0000007400","74","N","N","","пос.",""
"730200000100","Базарный Сызган","RU","0000007301","73","N","N","","пос.",""
"020000106500","Базилевка","RU","0000000200","02","N","N","","дер.",""
"331500000900","Байгуши","RU","0000003301","33","N","N","","дер.",""
"660600000100","Байкалово","RU","0000007201","66","N","N","","село",""
"120000000000","Байконур","KZ","000000KZ24","12","Y","Y","","гор.","1"
"020600100000","Баймак","RU","0000000213","02","N","N","","гор.",""
"742600001600","Байрамгулово","RU","0000007414","74","N","N","","село",""
"741700100000","Бакал","RU","0000007412","74","N","N","","гор.",""
"020700000100","Бакалы","RU","0000000212","02","N","N","","село",""
"502200023900","Баковка","RU","0000007700","50","N","N","","пос.",""
"070200100000","Баксан","RU","0000000701","07","N","N","","гор.",""
"400400200000","Балабаново","RU","0000004001","40","N","N","","гор.",""
"920000101500","Балаклава","RU","0000009201","92","N","N","","",""
"640000400000","Балаково","RU","0000006411","64","Y","N","","гор.","1"
"520400100000","Балахна","RU","0000005201","52","N","N","","гор.",""
"240400000100","Балахта","RU","0000002401","24","N","N","","пос.",""
"500003600000","Балашиха","RU","0000007700","50","N","N","","гор.",""
