"id","name"
"3902","Абакан"
"30239","Агинское"
"7292","Актау, KZ"
"7132","Актобе, KZ"
"41145","Алдан"
"38553","Алейск"
"7272","Алматы, KZ"
"38537","Алтайское**"
"8553","Альметьевск"
"3951","Ангарск"
"38453","Анжеро-Судженск"
"83147","Арзамас"
"42361","Арсеньев"
"42337","Артем"
"8182","Архангельск"
"7172","Астана, KZ"
"8512","Астрахань"
"7122","Атырау, KZ"
"39151","Ачинск"
"3038577","Ая"
"84570","Балаково"
"3852","Барнаул"
"38452","Белово"
"41641","Белогорск"
"38577","Белокуриха"
"34242","Березники"
"3854","Бийск"
"42155","Бикин"
"42622","Биробиджан"
"996312","Бишкек,KG"
"41622","Благовещенск"
"42335","Большой Камень"
"3953","Братск"
"375162","Брест,BY"
"104857","Бяла-Подляска"
"84593","Вельск"
"4232","Владивосток"
"8672","Владикавказ"
"4922","Владимир"
"8442","Волгоград"
"8443","Волжский"
"4732","Воронеж"
"34145","Воткинск"
"42153","Вяземский"
"38541","Горно-Алтайск"
"1522","Гродно, BY"
"42356","Дальнереченск"
"3806569","Евпатория"
"343","Екатеринбург"
"37410","Ереван"
"30251","Забайкальск"
"20030251","Забайкальск2"
"30030251","Забайкальск3"
"40030251","Забайкальск4"
"50030251","Забайкальск5"
"60030251","Забайкальск6"
"38595","Заринск (Алтай)"
"39169","Зеленогорск"
"39514","Зима"
"35136","Златоуст"
"4932","Иваново"
"3412","Ижевск"
"3952","Иркутск"
"38343","Искитим"
"34551","Ишим"
"8362","Йошкар-Ола"
"84321","Казань"
"4842","Калуга"
"3439","Каменск-Уральский"
"38514","Камень-на-Оби"
"39161","Канск"
"7212","Караганда, KZ"
"38355","Карасук"
"3842","Кемерово"
"3806561","Керчь"
"8332","Киров"
"38464","Киселевск"
"87937","Кисловодск"
"7162","Кокчетав, KZ"
"4966","Коломна"
"42172","Комсомольск-на-Амуре"
"7142","Костанай, KZ"
"38351","Коченево"
"8612","Краснодар"
"3912","Красноярск"
"38362","Куйбышев"
"3522","Курган"
"39422","Кызыл"
"38456","Л.Кузнецкий"
"39145","Лесосибирск"
"42357","Лучегорск"
"495","МОСКВА"
"41322","Магадан"
"35137","Магнитогорск"
"38443","Мариинск"
"38347","Маслянино"
"8722","Махачкала"
"38475","Междуреченск"
"3513","Миасс"
"17","Минск"
"41136","Мирный(Якутия)"
"80222","Могилев, BY"
"383","НОВОСИБИРСК"
"8552","Набережные челны"
"42366","Находка"
"86554","Невинномысск"
"41147","Нерюнгри"
"3466","Нижневартовск"
"8312","Нижний Новгород"
"3435","Нижний Тагил"
"38532","Новоалтайск"
"3843","Новокузнецк"
"84635","Новокуйбышевск"
"8617","Новороссийск"
"88352","Новочебоксарск"
"42444","Ноглики"
"3919","Норильск"
"3812","Омск"
"35322","Оренбург"
"38471","Осинники"
"2","П.Камчатский"
"7182","Павлодар, KZ"
"423630","Партизанск"
"8412","Пенза"
"3422","Пермь"
"7152","Петропавловск, KZ"
"38466","Прокопьевск"
"87933","Пятигорск"
"863","Ростов-на-Дону"
"38557","Рубцовск"
"4912","Рязань"
"812","С.Петербург"
"3476","Салават"
"864","Самара"
"8452","Саратов"
"39042","Саяногорск"
"41643","Свободный"
"380692","Севастополь"
"7222","Семей, KZ"
"380652","Симферополь"
"41654","Сковородино"
"38568","Славгород"
"86146","Славянск-на-Кубани"
"4812","Смоленск"
"42138","Советская Гавань"
"862","Сочи"
"42352","Спасск-Дальний"
"8652","Ставрополь"
"3473","Стерлитамак"
"346","Сургут"
"84643","Сызрань"
"86344","Таганрог"
"38448","Тайга"
"7282","Талды-Курган, KZ"
"7262","Тараз, KZ"
"38473","Таштагол"
"4822","Тверь"
"3456","Тобольск"
"8482","Тольятти"
"3822","Томск"
"35168","Троицк (Урал)"
"4872","Тула"
"39530","Тулун"
"41656","Тында"
"3452","Тюмень"
"3022","Улан-Удэ"
"8422","Ульяновск"
"71122","Уральск, KZ"
"39543","Усолье-Сибирское"
"4234","Уссурийск"
"39535","Усть-Илимск"
"7232","Усть-Каменогорск, KZ"
"39565","Усть-Кут"
"3472","Уфа"
"3806562","Феодосия"
"4212","Хабаровск"
"34241","Чайковский"
"8352","Чебоксары"
"3512","Челябинск"
"38345","Черепаново"
"87822","Черкесск"
"3012","Чита"
"35253","Шадринск"
"8636","Шахты"
"49351","Шуя"
"7252","Шымкент, KZ"
"71835","Экибастуз, KZ"
"8453","Энгельс"
"7962","Южно-Сахалинск"
"38451","Юрга"
"41122","Якутск"
"380654","Ялта"
"4852","Ярославль"
