"id","name","region"
"-112966","Алматы","Алматы"
"122132","Есик (Енбекшиказахский р-н)","Алматы"
"122134","Капчагай","Алматы"
"122136","Каскелен (Карасайский р-н)","Алматы"
"122138","Талгар (Талгарский р-н)","Алматы"
"122140","Талдыкорган","Алматы"
"134102","Нарынкол (Райымбекский р-н)","Алматы"
"134104","Байсерке (Илийский р-н)","Алматы"
"134106","Чимбулак","Алматы"
"175003","Тараз","Алматы"
"175004","Шымкент","Алматы"
"175006","Отеген батыр (Илийский р-н)","Алматы"
"178353","Жетиген (Илийский р-н)","Алматы"
"178355","Шамалган (Карасайский р-н)","Алматы"
"178356","Узынагаш (Жамбылский р-н)","Алматы"
"178421","Туздыбастау","Алматы"
"-124136","Альметьевск","Альметьевск"
"64065","Русский Акташ (Альметьевский р-н)","Альметьевск"
"64293","Бикасаз (Альметьевский р-н)","Альметьевск"
"64295","Бишмунча (Альметьевский р-н)","Альметьевск"
"64315","Уруссу (Ютазинский р-н)","Альметьевск"
"64855","Нижняя Мактама (Альметьевск)","Альметьевск"
"64857","Верхняя Мактама (Альметьевский р-н)","Альметьевск"
"64859","Кузайкино (Альметьевский р-н)","Альметьевск"
"64861","Маметьево (Альметьевский р-н)","Альметьевск"
"64863","Нагорное (Альметьевский р-н)","Альметьевск"
"64865","Савалеево (Заинский р-н)","Альметьевск"
"64867","Урсала (Альметьевск)","Альметьевск"
"64869","Актюбинский (Азнакаевский р-н)","Альметьевск"
"64945","Шентала (Шенталинский р-н)","Альметьевск"
"64947","Челно-Вершины (Челно-Вершинский р-н)","Альметьевск"
"64949","Камышла (Камышлинский р-н)","Альметьевск"
"64951","Северное (Северный р-н)","Альметьевск"
"66387","Аксубаево (Аксубаевский р-н)","Альметьевск"
"67385","Азнакаево (Азнакаевский р-н)","Альметьевск"
"67389","Бавлы (Бавлинский р-н)","Альметьевск"
"67391","Бугульма (Бугульминский р-н)","Альметьевск"
"67395","Джалиль (Сармановский р-н)","Альметьевск"
"67403","Лениногорск (Лениногорский р-н)","Альметьевск"
"67411","Муслюмово (Муслюмовский р-н)","Альметьевск"
"67413","Сарманово (Сармановский р-н)","Альметьевск"
"67415","Черемшан (Черемшанский р-н)","Альметьевск"
"67735","Абдулино (Абдулинский р-н)","Альметьевск"
"67747","Матвеевка (Матвеевский р-н)","Альметьевск"
"68109","Клявлино (Клявлинский р-н)","Альметьевск"
"68131","Нурлат (Нурлатский р-н)","Альметьевск"
"68689","Туймазы","Альметьевск"
"128166","Карабаш (Бугульминский р-н)","Альметьевск"
"142992","Октябрьский (респ. Башкортостан)","Альметьевск"
"241526","Абсалямово (Ютазинский р-н)","Альметьевск"
"241801","Серафимовский (Туймазинский р-н)","Альметьевск"
"-478","Армавир","Армавир"
"63189","Лабинск","Армавир"
"63327","Тихорецк","Армавир"
"63509","Казанская (Кавказский р-н)","Армавир"
"63521","Губская (Мостовский р-н)","Армавир"
"63527","Спокойная (Отрадненский р-н)","Армавир"
"63895","Псебай (Мостовский р-н)","Армавир"
"65207","Отрадо-Кубанское (Гулькевичский р-н)","Армавир"
"65209","Прочноокопская (Новокубанский р-н)","Армавир"
"65307","Дондуковская (Гаигинский р-н)","Армавир"
"65311","Гирей (Гулькевичский р-н)","Армавир"
"65313","Красносельский (Гулькевичский р-н)","Армавир"
"65317","Хакуринохабль (Шовгеновский р-н)","Армавир"
"65555","Успенская (Белоглинский р-н)","Армавир"
"66643","Ботаника (Гулькевичский р-н)","Армавир"
"66649","Гиагинская (Гаигинский р-н)","Армавир"
"66653","Гулькевичи","Армавир"
"66663","Кавказская (Кавказский р-н)","Армавир"
"66677","Кошехабль","Армавир"
"66681","Кропоткин","Армавир"
"66685","Лосево (Кавказский р-н)","Армавир"
"66695","Новопокровская (Новопокровский р-н)","Армавир"
"66713","Тбилисская (Тбилисский р-н)","Армавир"
"67429","Курганинск","Армавир"
"67433","Мостовской (Мостовский р-н)","Армавир"
"67435","Новокубанск","Армавир"
"67437","Отрадная","Армавир"
"67445","Успенское (Успенский р-н)","Армавир"
"68037","Белая Глина (Белоглинский р-н)","Армавир"
"109068","Григорополисская (Новоалександровский р-н)","Армавир"
"109070","Советская (Краснодарский край) (Новокубанский р-н)","Армавир"
"114225","Коноково (Успенский р-н)","Армавир"
"114227","Прогресс (Новокубанский р-н)","Армавир"
"114229","Глубокий (Новокубанский р-н)","Армавир"
"114231","Попутная (Отрадненский р-н)","Армавир"
"114233","Роте-Фане (Новокубанский р-н)","Армавир"
"114235","Восход (Новокубанский р-н)","Армавир"
"114237","Федоровский","Армавир"
"114239","Удобная (Отрадненский р-н)","Армавир"
"114241","Вольное (Успенский р-н)","Армавир"
"114243","Ковалевское (Новокубанский р-н)","Армавир"
"114245","Бесскорбная (Новокубанский р-н)","Армавир"
"114247","Переправная (Мостовский р-н)","Армавир"
"114250","Марьино (Успенский р-н)","Армавир"
"114252","Зассовская (Лабинский р-н)","Армавир"
"114254","Константиновская (Курганинский р-н)","Армавир"
"174676","Тихорецк","Армавир"
"179478","Чамлыкская (Лабинский р-н)","Армавир"
"179479","Темиргоевская (Курганинский р-н)","Армавир"
"179480","Соколовское (Гулькевичский р-н)","Армавир"
"179481","Новопокровский (Новопокровский р-н)","Армавир"
"179482","Камышеваха (Новокубанский р-н)","Армавир"
"179483","Ботаника (Гулькевичский р-н)","Армавир"
"179484","Новопавловский (Гулькевичский р-н)","Армавир"
"179485","Заречный (Успенский р-н)","Армавир"
"179487","Архангельская (Тихорецкий р-н)","Армавир"
"181297","Прохладный (Лабинский р-н)","Армавир"
"209170","Новолеушковская (Павловский р-н)","Армавир"
"209200","Новоукраинское (Кропоткинский р-н)","Армавир"
"-109274","Артем","Артем"
"63415","Находка","Артем"
"63417","Угловое","Артем"
"63419","Фокино","Артем"
"63421","Шкотово","Артем"
"63423","Раздольное (Надеждинский р-н)","Артем"
"63425","Уссурийск","Артем"
"63427","Спасск-Дальний","Артем"
"63429","Арсеньев","Артем"
"63431","Партизанск","Артем"
"89972","Большой Камень","Артем"
"101471","Трудовое","Артем"
"111708","Углекаменск","Артем"
"111710","Анучино (Анучинский р-н)","Артем"
"111712","Кировский","Артем"
"112227","Врангель","Артем"
"112317","Славянка (Хасанский р-н)","Артем"
"112319","Краскино","Артем"
"112321","Посьет","Артем"
"112323","Зарубино (Хасанский р-н)","Артем"
"112325","Вольно-Надеждинское","Артем"
"112327","Владимиро-Александровское","Артем"
"112329","Смоляниново","Артем"
"112331","Покровка (Красноармейский р-н)","Артем"
"112333","Пограничный","Артем"
"112335","Камень-Рыболов","Артем"
"112337","Хороль","Артем"
"112339","Михайловка (Михайловский р-н)","Артем"
"112341","Черниговка (Черниговский р-н)","Артем"
"112343","Яковлевка (Яковлевский р-н)","Артем"
"112345","Чугуевка (Чугуевский р-н)","Артем"
"112348","Сибирцево","Артем"
"112350","Ярославский","Артем"
"112352","Новошахтинский","Артем"
"118355","Волчанец (Партизанский р-н)","Артем"
"118357","Приморский (Хасанский р-н)","Артем"
"193620","Орехово (Приморский край) (Черниговский р-н)","Артем"
"193864","Трудовое","Артем"
"241529","Чернышевка (Анучинский р-н)","Артем"
"241650","Липовцы (Октябрьский р-н)","Артем"
"-485","Архангельск","Архангельск"
"63191","Новодвинск","Архангельск"
"63193","Холмогоры (Холмогорский р-н)","Архангельск"
"63195","Брин-Наволок (Холмогорский р-н)","Архангельск"
"63197","Емецк (Холмогорский р-н)","Архангельск"
"63199","Березник (Виноградовский р-н)","Архангельск"
"63201","Красноборск (Красноборский р-н)","Архангельск"
"63207","Онега (Онежский р-н)","Архангельск"
"63209","Савинский (Плесецкий р-н)","Архангельск"
"63211","Плесецк (Плесецкий р-н)","Архангельск"
"63215","Североонежск (Плесецкий р-н)","Архангельск"
"63217","Каргополь (Каргопольский р-н)","Архангельск"
